,IMDB_Rating,IMDB_Rating,Runtime,Runtime,Runtime
,mean,max,mean,max,min
Genre,,,,,
Action,7.9639999999999995,9.0,136.86,321,93
Adventure,7.907692307692307,8.3,136.69230769230768,212,96
Animation,7.982758620689655,8.6,98.44827586206897,137,71
Biography,7.951724137931034,8.6,137.0,186,107
Comedy,7.8420000000000005,8.3,112.18,188,72
Crime,8.13783783783784,9.2,130.05405405405406,189,81
Drama,7.965116279069767,8.8,123.94186046511628,238,80
Fantasy,8.1,8.1,76.0,76,76
Film-Noir,8.1,8.1,104.0,104,104
Horror,7.699999999999999,7.8,101.5,103,100
Mystery,7.6,7.6,100.0,100,100
Western,8.5,8.5,165.0,165,165
